id,name_cn,layer,family,direction_bet,target_family,bet_side,criterion_expr,context_gate,lookback_hint_bars,n_expressions,tier,status,overlap_with,market_caliber,freq_prior,sources,mechanism,masks_5m,n_masks_5m,dedup_aliases_5m,hit_sig_5m
NK-T3-16,父周期逆向（背离）,T3,多周期共振,押收阳,reversal,up,(align_h == False) & (dir1 > 0) & (align_h2 == True),,2,1,C,VERIFIABLE,,True,0.2,top-down divergence,本根与父周期方向背离，押次根反转,NK-T3-16,1,,4196eab00d414295
NK-T3-17,资金费结算槽反转,T3,时段效应,押反转,reversal,none,funding_slot,regime_vol_high,0,2,A,VERIFIABLE,R3-011 已预注册 funding_slot × regime_vol_high → 部分非独立,True,0.06,MDPI funding hour-of-day|Wiley 8h 结算,00/08/16 UTC 结算根的方向可预测性（无方向条件，故测反转率）,NK-T3-17|NK-T3-17|regime_vol_high,2,,dce3df301ad679f3|069535bb642b0dec
NK-T3-18,时段起始根延续,T3,时段效应,押延续,continuation,none,slot_boundary,,0,1,A,VERIFIABLE,,True,0.08,arXiv Quarter-Hour Effect,父周期第一根（格点对齐/算法交易密度高）的方向持续性,NK-T3-18,1,,b06cda65156336f1
NK-T3-19,美盘重叠时段延续,T3,时段效应,押收阳,continuation,up,(hour >= 13) & (hour <= 16),,16,1,C,VERIFIABLE,,True,0.17,session killzone|MDPI Asia 00:00-07:59,高流动时段（13-16 UTC）纯时段基准——预期最强，作为形态有效性的对照组,NK-T3-19,1,,e63027986b637aa1
NK-T3-20,高波贴顶滞涨,T3,波动状态,押收阴,reversal,down,(atrp >= 0.85) & (rpos20 >= 0.8) & (close_loc <= 0.4),,20,1,C,VERIFIABLE,R3-001/003 用 regime_vol_high（固定阈值）→ 本处用分位,True,0.02,volatility regime,高波动分位 + 区间上沿 + 收于下半区,NK-T3-20,1,,729ea5c6aec7374d
NK-T3-21,低波压缩后向上破位,T3,波动状态,押收阳,continuation,up,(atrp <= 0.2) & (c > hh20),,20,1,C,VERIFIABLE,,True,0.01,breakout from compression,低波动分位下创 20 根高，押扩张启动,NK-T3-21,1,,4b3dda7cae90fd82
NK-T3-22,确认摆动高点（分形 k=2）,T3,摆动结构,押收阴,reversal,down,swing_hi,,0,1,B,VERIFIABLE,,True,0.06,LuxAlgo Williams Fractal|LinnSoft,两侧各 2 根更低高点的局部极值；信号落在确认根（右移 2 根）→ 已含滞后,NK-T3-22,1,,db554e5781b3fd42
NK-T3-23,确认摆动低点（分形 k=2）,T3,摆动结构,押收阳,reversal,up,swing_lo,,0,1,B,VERIFIABLE,,True,0.06,Williams Fractal,对称版,NK-T3-23,1,,a2dd4729ea255363
NK-T3-24,趋势中创新高,T3,摆动结构,押收阳,continuation,up,(trend_dir > 0) & (c > hh20),,20,1,C,VERIFIABLE,R3-007/008/009 用 regime_trend_*（ATR/EMA 口径）→ 本处用结构口径,True,0.05,HH/HL sequence|知乎 趋势行情侧重 BOS,结构趋势为上时创新高，顺势延续,NK-T3-24,1,,4a9fe1a313c3693d
NK-T3-25,趋势中创新低,T3,摆动结构,押收阴,continuation,down,(trend_dir < 0) & (c < ll20),,20,1,C,VERIFIABLE,,True,0.05,LL/LH sequence,结构趋势为下时创新低,NK-T3-25,1,,0ac5c72e780a863d
